in the name of the father,1993,62816
life of pi,2012,242409
rocky,1976,212981
roman holiday,1953,61168
ip man,2008,84139
my sassy girl,2001,27386
rope,1948,63388
slumdog millionaire,2008,412260
the perks of being a wallflower,2012,170437
nausicaa of the valley of the wind,1984,51554
la haine,1995,61680
underground,1995,26367
pirates of the caribbean: the curse of the black pearl,2003,505562
the celebration,1998,45764
all quiet on the western front,1930,36966
the exorcist,1973,206051
"spring, summer, fall, winter... and spring",2003,40993
"monsters, inc.",2001,318471
harvey,1950,35985
elite squad: the enemy within,2010,39360
la dolce vita,1960,31553
three colors: red,1994,41508
a streetcar named desire,1951,58368
in the mood for love,2000,48655
battleship potemkin,1925,29232
bringing up baby,1938,34075
star trek,2009,350190
castle in the sky,1986,52302
rio bravo,1959,31602
a fistful of dollars,1964,79287
the diving bell and the butterfly,2007,67054
the cabinet of dr. caligari,1920,26066
the philadelphia story,1940,38841
the help,2011,182962
his girl friday,1940,31343
arsenic and old lace,1944,43815
the truman show,1998,393344
shutter island,2010,422733
the artist,2011,130725
papillon,1973,59960
jurassic park,1993,332337
before sunrise,1995,97226
a christmas story,1983,74055
shadow of a doubt,1943,33951
ratatouille,2007,306965
in the heat of the night,1967,35470
district 9,2009,375393
duck soup,1933,38078
beauty and the beast,1991,183200
the searchers,1956,46150
solaris,1972,34717
"aguirre, the wrath of god",1972,27841
nosferatu,1922,51210
chungking express,1994,27781
patton,1970,58521
charade,1963,35108
tae guk gi: the brotherhood of war,2004,25322
frankenstein,1931,35331
"paris, texas",1984,30707
the adventures of robin hood,1938,31316
the lady vanishes,1938,26414
rosemary's baby,1968,100004
rain man,1988,267170
manhattan,1979,74789
the nightmare before christmas,1993,156328
king kong,1933,53093
all the president's men,1976,51889
harold and maude,1971,41155
the sea inside,2004,47597
"black cat, white cat",1998,27971
big fish,2003,273530
magnolia,1999,187891
jfk,1991,85735
before sunset,2004,96530
3-iron,2004,28070
shaun of the dead,2004,268725
dawn of the dead,1978,67717
young frankenstein,1974,84693
let the right one in,2008,131956
the straight story,1999,49763
mystic river,2003,248059
night of the living dead,1968,63911
the untouchables,1987,162029
spartacus,1960,74924
the conversation,1974,53731
planet of the apes,1968,99954
blood diamond,2006,259051
edward scissorhands,1990,246624
dances with wolves,1990,127926
being there,1979,38367
sling blade,1996,56131
doctor zhivago,1965,42461
kill bill: vol. 2,2004,350233
wings of desire,1987,33502
the african queen,1951,46160
the wrestler,2008,200461
the incredibles,2004,307768
bonnie and clyde,1967,60815
brazil,1985,114636
crimes and misdemeanors,1989,31138
elite squad,2007,54092
ed wood,1994,114349
akira,1988,66844
star trek into darkness,2013,190630
this is spinal tap,1984,80181
moon,2009,163953
talk to her,2002,66539
in bruges,2008,219564
avatar,2009,600186
persepolis,2007,50210
toy story 2,1999,246472
midnight cowboy,1969,56194
letters from iwo jima,2006,104139
mulholland dr.,2001,171740
casino royale,2006,314499
true romance,1993,119301
children of men,2006,267969
no man's land,2001,30269
days of heaven,1978,25390
a prophet,2009,55377
cinderella man,2005,110732
the man who would be king,1975,28108
the insider,1999,102833
catch me if you can,2002,298937
head-on,2004,30778
aladdin,1992,157391
miller's crossing,1990,77444
dogville,2003,79557
the legend of 1900,1998,26993
hero,2002,118406
breathless,1960,35744
the breakfast club,1985,159777
the killing fields,1984,32668
shrek,2001,310677
the blues brothers,1980,100544
the man from earth,2007,79390
almost famous,2000,152192
iron man,2008,421353
glory,1989,80828
crash,2004,280853
badlands,1973,31829
serenity,2005,181553
the fighter,2010,175828
three colors: blue,1993,41822
hannah and her sisters,1986,37081
the notebook,2004,252780
the 39 steps,1935,30381
the remains of the day,1993,33901
halloween,1978,109680
the bourne identity,2002,268545
once,2006,62439
drive,2011,301779
silver linings playbook,2012,268018
little miss sunshine,2006,254665
the sound of music,1965,96115
dead poets society,1989,182884
e.t. the extra-terrestrial,1982,198932
the killer,1989,30581
"crouching tiger, hidden dragon",2000,173341
the girl with the dragon tattoo,2011,217345
argo,2012,251866
carlito's way,1993,117330
the french connection,1971,56142
taken,2008,324332
the day the earth stood still,1951,51991
"4 months, 3 weeks and 2 days",2007,35079
the right stuff,1983,33841
the iron giant,1999,84430
hot fuzz,2007,236880
hard boiled,1992,29922
the outlaw josey wales,1976,36423
glengarry glen ross,1992,53623
boogie nights,1997,131806
the social network,2010,303097
ferris bueller's day off,1986,167553
ghost in the shell,1995,51133
walk the line,2005,143167
predator,1987,198936
rebel without a cause,1955,45079
my fair lady,1964,47122
all about my mother,1999,52025
dancer in the dark,2000,57539
the birds,1963,89929
the pursuit of happyness,2006,217188
scent of a woman,1992,132753
dirty harry,1971,85843
black book,2006,46601
amour,2012,41379
clerks.,1994,141027
the ten commandments,1956,34132
wreck-it ralph,2012,136027
office space,1999,147735
do the right thing,1989,42423
the magnificent seven,1960,46315
pink floyd the wall,1982,44265
deliverance,1972,58281
misery,1990,90561
the dirty dozen,1967,38074
the girl with the dragon tattoo,2009,124741
the hangover,2009,382399
the fall,2006,63166
(500) days of summer,2009,242630
the curious case of benjamin button,2008,303209
my left foot,1989,33260
goldfinger,1964,98176
evil dead ii,1987,78462
run lola run,1998,126941
kick-ass,2010,289675
the boondock saints,1999,156876
fantasia,1940,51502
kiki's delivery service,1989,43182
moonrise kingdom,2012,134647
american gangster,2007,234087
ghostbusters,1984,170320
blue velvet,1986,91396
x-men: first class,2011,301750
mr. nobody,2009,64315
willy wonka & the chocolate factory,1971,84188
the world's fastest indian,2005,33759
lilya 4-ever,2002,27376
airplane!,1980,108817
the fugitive,1993,160314
tangled,2010,148810
gattaca,1997,146957
being john malkovich,1999,187849
breaking the waves,1996,34944
lost in translation,2003,232364
battle royale,2000,102164
skyfall,2012,336199
mississippi burning,1988,46915
50/50,2011,179065
changeling,2008,147827
"o brother, where art thou?",2000,158831
the last emperor,1987,47090
3:10 to yuma,2007,174588
i saw the devil,2010,41427
apocalypto,2006,176803
ordinary people,1980,25178
snow white and the seven dwarfs,1937,83280
the motorcycle diaries,2004,63585
serpico,1973,50707
open your eyes,1997,39553
the experiment,2001,55936
fantastic mr. fox,2009,86140
breakfast at tiffany's,1961,80511
donnie brasco,1997,156086
despicable me 2,2013,77122
atonement,2007,138934
the white ribbon,2009,36759
the longest day,1962,31499
the last of the mohicans,1992,80053
the boy in the striped pajamas,2008,74154
dark city,1998,114322
the chorus,2004,30431
as good as it gets,1997,170051
close encounters of the third kind,1977,99193
finding neverland,2004,139215
the machinist,2004,186242
true grit,2010,168954
porco rosso,1992,27155
300,2006,416253
the game,1997,173293
gone baby gone,2007,132710
the triplets of belleville,2003,31654
cabaret,1972,27528
south park: bigger longer & uncut,1999,119720
the name of the rose,1986,59991
zombieland,2009,243825
in america,2002,31012
road to perdition,2002,150880
frost/nixon,2008,69506
25th hour,2002,115447
tombstone,1993,69167
happiness,1998,42155
lucky number slevin,2006,194255
the station agent,2003,40425
empire of the sun,1987,62911
back to the future part ii,1989,197161
kramer vs. kramer,1979,65605
the bourne supremacy,2004,227908
21 grams,2003,140997
sabrina,1954,30152
delicatessen,1991,49143
what's eating gilbert grape,1993,116181
the last king of scotland,2006,106913
good bye lenin!,2003,79868
adaptation.,2002,106890
ocean's eleven,2001,266184
blazing saddles,1974,67920
pride & prejudice,2005,128805
barton fink,1991,61820
the conjuring,2013,77221
harry potter and the prisoner of azkaban,2004,248361
sympathy for mr. vengeance,2002,31817
blood simple.,1984,48659
match point,2005,116163
a very long engagement,2004,49640
eastern promises,2007,144607
love actually,2003,213919
stardust,2007,157680
kung fu hustle,2004,72879
mysterious skin,2004,42434
boyz n the hood,1991,63837
midnight in paris,2011,190778
black hawk down,2001,202494
127 hours,2010,187873
lolita,1962,46520
the visitor,2007,29753
zodiac,2007,184083
ray,2004,78844
man on fire,2004,184168
star wars: episode iii - revenge of the sith,2005,327606
short cuts,1993,27609
the last samurai,2003,219566
star trek ii: the wrath of khan,1982,67338
grindhouse,2007,123509
dead man's shoes,2004,30501
a bronx tale,1993,68720
this is england,2006,73135
october sky,1999,46914
the king of comedy,1982,33897
boy a,2007,26122
ponyo,2008,50806
mary poppins,1964,64515
kiss kiss bang bang,2005,129900
control,2007,37841
the goonies,1985,118638
rushmore,1998,91264
minority report,2002,274241
who framed roger rabbit,1988,95379
the hurt locker,2008,211156
the butterfly effect,2004,241906
the player,1992,31849
coraline,2009,97525
traffic,2000,136842
thank you for smoking,2005,148661
les miserables,2012,152366
mash,1970,41620
saw,2004,207214
inside man,2006,192926
training day,2001,204323
fear and loathing in las vegas,1998,156058
dead man,1995,53450
the wicker man,1973,32386
stranger than fiction,2006,143089
night on earth,1991,27391
united 93,2006,66481
brokeback mountain,2005,194544
little children,2006,72473
munich,2005,136910
the color purple,1985,45327
the producers,1967,29988
milk,2008,97680
the blind side,2009,131859
a fish called wanda,1988,83592
philadelphia,1993,127570
titanic,1997,500972
malcolm x,1992,45427
midnight express,1978,39827
awakenings,1990,62396
three colors: white,1994,29759
cell 211,2009,31103
lethal weapon,1987,137363
paprika,2006,26286
show me love,1998,34534
28 days later...,2002,207786
watchmen,2009,270926
hugo,2011,170071
where eagles dare,1968,29655
sense and sensibility,1995,54957
the city of lost children,1995,43080
enter the dragon,1973,57587
juno,2007,293817
primal fear,1996,87640
superbad,2007,292619
harry potter and the deathly hallows: part 1,2010,209207
cast away,2000,250145
the warriors,1979,49345
lady vengeance,2005,37575
monsters university,2013,58541
the jungle book,1967,73735
man of steel,2013,228804
despicable me,2010,198579
end of watch,2012,107333
the others,2001,190852
detachment,2011,31459
remember the titans,2000,112385
the illusionist,2006,203135
pinocchio,1940,50055
dangerous liaisons,1988,40824
13 assassins,2010,35780
collateral,2004,215774
sideways,2004,115459
lord of war,2005,185022
blow-up,1966,29275
fearless,2006,47321
the count of monte cristo,2002,78154
billy elliot,2000,72625
dazed and confused,1993,78915
kung fu panda,2008,188889
y tu mama tambien,2001,68342
moneyball,2011,188156
cloud atlas,2012,170926
the secret world of arrietty,2010,29299
house of sand and fog,2003,46776
first blood,1982,121369
shine,1996,33310
the thin red line,1998,103805
mad max 2: the road warrior,1981,77257
west side story,1961,50222
the fifth element,1997,237188
indiana jones and the temple of doom,1984,204868
